"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"food_count"
"05/12/2021 22:40:21:350 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"initial-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"max-energy","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120"
"food-count","30","35","40","45","50","55","60","65","70","75","80","85","90","95","100"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"[steps]","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000"

"[initial & final values]","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals"
,"2.133336863599631","1.8502889561491374","1.9882765105643392","2.1310355508869843","2.054198079047154","1.967588316191291","2.248397636181509","2.055293983374823","2.6094054431124607","2.4689936471953495","2.4055124643762174","2.490175556209832","2.509451464361484","2.285791382208908","2.6560152622488378"
