"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"trial"
"05/12/2021 22:21:26:703 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"initial-speed","0.6","0.7","0.8","0.9","1","1.1","1.2","1.3","1.4","1.5","1.6","1.7","1.8","1.9","2","2.1","2.2","2.3","2.4","2.5","2.6","2.7","2.8","2.9","3","3.1","3.2","3.3","3.4","3.5","3.6","3.7","3.8","3.9","4","4.1","4.2","4.3","4.4","4.5","4.6","4.7","4.8","4.9","5"
"max-energy","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120"
"food-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"[steps]","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000"

"[initial & final values]","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals"
,"2.7197606406257155","2.3703735781827744","2.5104574820701924","2.236557207068002","2.6792557586285444","2.590881324177881","2.2969717872808606","2.1323610107080975","2.4950195053947484","2.4731240243180923","2.377298386399029","2.6532640975731816","2.7861719243632894","2.6628700715850373","2.2368040475581776","2.459417951463267","2.558569741565894","2.4680780467092704","2.4947158310336612","2.2873194238615273","2.3959060774295993","2.2722216809440594","2.5248342012769562","2.4214285872863996","2.5436238407942415","2.326027465158063","2.4800782792962006","2.377073911026838","2.251867306096029","2.646603399687966","2.3086097910376724","2.242968549420706","2.624189095386988","2.5967617677776653","2.620079892810938","2.363419135159243","2.5216288524853354","2.565987439648358","2.5375005621801705","2.640363068946096","2.4403997211390562","2.4847640460682348","2.425483734978143","2.496509865121762","2.5658554736003225"
