"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"max_energy"
"05/12/2021 23:08:21:555 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"initial-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"max-energy","50","55","60","65","70","75","80","85","90","95","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195","200","205","210","215","220","225","230","235","240","245","250"
"food-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"[steps]","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000"

"[initial & final values]","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals"
,"1.8907342448584799","1.833303054175531","2.0528800763706427","2.1261135463380776","1.966595841096217","2.1290613480257665","2.103657335990399","2.173769509860375","2.4579476947518732","2.2178192366477387","2.2507486683382742","2.3545969213655176","2.5947193072200005","2.3089617098557005","2.8639485478828095","2.4054891813222756","2.3988443238554953","2.6196096071838766","2.758849222016664","2.702161536474973","2.9703960417633573","2.8309121654611227","2.45750644859219","2.9522069247645684","2.584483368821146","2.6878184448927933","3.0200052137055953","2.8402422028059133","3.0219877945179183","2.486407740671385","2.7337465554961726","2.8427716779879986","2.715414600956411","3.1055647216281934","2.793884778468244","2.991834132814515","3.2638163159769964","3.3174268396016977","2.900885689951679","3.597282742037418","3.42746571912402"
