"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"max_energy"
"05/12/2021 23:23:36:243 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"initial-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"max-energy","50","55","60","65","70","75","80","85","90","95","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195","200","205","210","215","220","225","230","235","240","245","250","255","260","265","270","275","280","285","290","295","300"
"food-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"[steps]","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000"

"[initial & final values]","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals"
,"1.8193695176908768","1.8354771653788913","2.1453017893327293","2.0519216721931297","2.098431212127102","2.0368665146466784","2.2933278182111665","2.3017532067182613","2.118212706989988","2.380983953209971","2.0430519067370985","2.8109326453214063","2.478679000915667","2.3293434068195773","2.6502914632451584","2.1213353338132315","2.5936943158438717","2.2334028264734163","2.600503149370286","2.84268202816189","2.8953815621074814","2.3801574073601186","2.6666002284325305","2.7763784949694292","2.314649101402689","3.1049060236621835","3.1547149742657647","3.154567966160699","2.6903424970500867","2.4315031728664067","2.751082125325516","2.8380591296596642","3.34823276538525","2.8849323444520105","3.398763052337328","3.3802739385432585","2.9141713557095463","3.2036097091333477","2.835005161377775","3.373222715295909","3.5567590407802405","3.098395406403615","3.2156060389494905","3.5362875063707455","3.3888849550854565","2.749339099066186","3.106665038546786","3.6477327453891393","3.193910938296864","3.9715844212432985","3.6238392783423437"
