"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"food_count"
"05/12/2021 22:55:04:938 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"initial-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"max-energy","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120"
"food-count","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","74","76","78","80","82","84","86","88","90","92","94","96","98","100"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"[steps]","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000"

"[initial & final values]","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals","sum [speed] of animals / count animals"
,"1.9959912307459302","1.8528416557294731","1.703842268657066","1.8323120065997385","1.9481536072071877","1.7541350132573843","1.970315033743385","2.0545747233688445","1.8976855402755086","1.8564962060410197","2.202378793801293","2.0303068574083736","2.203957692300916","2.1127382425427927","2.394633288688497","2.1426159466253716","2.0247892977352784","2.301055011406269","2.2569488305443413","2.26756768527854","2.579351483520073","2.5428974996247833","2.1661557759144237","2.545526423771106","2.242993391157364","2.499065626009318","2.5576284249709493","2.4338735520064034","2.4303514246281295","2.2994847568513794","2.4355991669158232","2.7217593102473105","2.2849847365884752","2.843259106489305","2.6365089598802016","2.2781960127486705"
