"BehaviorSpace results (NetLogo 6.2.0)"
"Evolution.nlogo"
"mutations_on"
"05/12/2021 23:41:41:422 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"initial-speed","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"max-energy","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120"
"food-count","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","74","76","78","80","82","84","86","88","90","92","94","96","98","100"
"animal-count","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"mutations?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"[steps]","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"

"[initial & final values]","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals","count animals"
,"23","17","27","33","35","38","33","38","41","46","48","51","50","56","54","55","60","57","64","65","67","70","74","75","73","80","79","83","82","87","88","91","93","93","98","98"
